id,station,date,prcp,tobs
1557,USC00519397,2014-06-05,0.0,78.0
1558,USC00519397,2014-06-06,0.0,78.0
1559,USC00519397,2014-06-07,0.03,78.0
1560,USC00519397,2014-06-08,0.0,78.0
1561,USC00519397,2014-06-09,0.0,79.0
1562,USC00519397,2014-06-10,0.0,79.0
1563,USC00519397,2014-06-11,0.0,82.0
1564,USC00519397,2014-06-12,0.0,80.0
1565,USC00519397,2014-06-13,0.0,79.0
1566,USC00519397,2014-06-14,0.0,79.0
1567,USC00519397,2014-06-15,0.01,78.0
1568,USC00519397,2014-06-16,0.0,78.0
1569,USC00519397,2014-06-17,0.03,77.0
1570,USC00519397,2014-06-18,0.15,78.0
1571,USC00519397,2014-06-19,0.01,78.0
1572,USC00519397,2014-06-20,0.07,73.0
1573,USC00519397,2014-06-21,0.01,75.0
1574,USC00519397,2014-06-22,0.01,75.0
1575,USC00519397,2014-06-23,0.19,76.0
1576,USC00519397,2014-06-24,0.0,84.0
1577,USC00519397,2014-06-25,0.05,79.0
1578,USC00519397,2014-06-26,0.06,76.0
1579,USC00519397,2014-06-27,0.04,79.0
1580,USC00519397,2014-06-28,0.0,79.0
1581,USC00519397,2014-06-29,0.01,77.0
1582,USC00519397,2014-06-30,0.02,79.0
1915,USC00519397,2015-06-01,0.0,78.0
1916,USC00519397,2015-06-02,0.0,78.0
1917,USC00519397,2015-06-03,0.0,79.0
1918,USC00519397,2015-06-04,0.0,77.0
1919,USC00519397,2015-06-05,0.0,79.0
1920,USC00519397,2015-06-06,0.0,78.0
1921,USC00519397,2015-06-07,0.0,78.0
1922,USC00519397,2015-06-08,0.0,78.0
1923,USC00519397,2015-06-09,0.0,79.0
1924,USC00519397,2015-06-10,0.0,77.0
1925,USC00519397,2015-06-11,0.0,78.0
1926,USC00519397,2015-06-12,0.0,78.0
1927,USC00519397,2015-06-13,0.0,78.0
1928,USC00519397,2015-06-14,0.0,78.0
1929,USC00519397,2015-06-15,0.0,79.0
1930,USC00519397,2015-06-16,0.0,79.0
1931,USC00519397,2015-06-17,0.03,77.0
1932,USC00519397,2015-06-18,0.0,78.0
1933,USC00519397,2015-06-19,0.01,78.0
1934,USC00519397,2015-06-20,0.04,78.0
1935,USC00519397,2015-06-21,0.0,79.0
1936,USC00519397,2015-06-22,0.0,79.0
1937,USC00519397,2015-06-23,0.03,77.0
1938,USC00519397,2015-06-24,0.03,79.0
1939,USC00519397,2015-06-25,0.03,79.0
1940,USC00519397,2015-06-26,0.0,79.0
1941,USC00519397,2015-06-27,0.0,81.0
1942,USC00519397,2015-06-28,0.0,76.0
1943,USC00519397,2015-06-29,0.0,80.0
1944,USC00519397,2015-06-30,0.0,78.0
2281,USC00519397,2016-06-01,0.06,76.0
2282,USC00519397,2016-06-02,0.0,71.0
2283,USC00519397,2016-06-03,0.0,71.0
2284,USC00519397,2016-06-04,0.0,74.0
2285,USC00519397,2016-06-05,0.0,76.0
2286,USC00519397,2016-06-06,0.0,78.0
2287,USC00519397,2016-06-07,0.01,77.0
2288,USC00519397,2016-06-08,0.0,77.0
2289,USC00519397,2016-06-09,0.01,73.0
2290,USC00519397,2016-06-10,0.05,77.0
2291,USC00519397,2016-06-11,0.0,78.0
2292,USC00519397,2016-06-12,0.01,78.0
2293,USC00519397,2016-06-13,0.0,80.0
2294,USC00519397,2016-06-14,0.0,79.0
2295,USC00519397,2016-06-15,0.01,78.0
2296,USC00519397,2016-06-16,0.02,77.0
2297,USC00519397,2016-06-17,0.02,76.0
2298,USC00519397,2016-06-18,0.0,77.0
2299,USC00519397,2016-06-19,0.01,77.0
2300,USC00519397,2016-06-20,0.01,78.0
2301,USC00519397,2016-06-21,0.0,80.0
2302,USC00519397,2016-06-22,0.0,79.0
2303,USC00519397,2016-06-23,0.0,79.0
2304,USC00519397,2016-06-24,0.01,77.0
2305,USC00519397,2016-06-25,0.03,78.0
2306,USC00519397,2016-06-26,0.01,79.0
2307,USC00519397,2016-06-27,0.01,80.0
2308,USC00519397,2016-06-28,0.0,76.0
2309,USC00519397,2016-06-29,0.0,79.0
2310,USC00519397,2016-06-30,0.0,80.0
2644,USC00519397,2017-06-01,0.0,79.0
2645,USC00519397,2017-06-02,0.0,79.0
2646,USC00519397,2017-06-03,0.02,79.0
2647,USC00519397,2017-06-04,0.0,79.0
2648,USC00519397,2017-06-05,0.0,80.0
2649,USC00519397,2017-06-06,0.0,79.0
2650,USC00519397,2017-06-07,0.0,79.0
2651,USC00519397,2017-06-08,0.0,80.0
2652,USC00519397,2017-06-09,0.0,80.0
2653,USC00519397,2017-06-10,0.04,77.0
2654,USC00519397,2017-06-11,0.08,79.0
2655,USC00519397,2017-06-12,0.02,83.0
2656,USC00519397,2017-06-13,0.0,80.0
2657,USC00519397,2017-06-14,0.0,80.0
2658,USC00519397,2017-06-15,0.0,78.0
2659,USC00519397,2017-06-16,0.0,79.0
2660,USC00519397,2017-06-17,0.0,80.0
2661,USC00519397,2017-06-18,0.05,77.0
2662,USC00519397,2017-06-19,0.0,80.0
2663,USC00519397,2017-06-20,0.02,78.0
2664,USC00519397,2017-06-21,0.0,79.0
2665,USC00519397,2017-06-22,0.0,80.0
2666,USC00519397,2017-06-23,0.0,78.0
2667,USC00519397,2017-06-24,0.06,80.0
2668,USC00519397,2017-06-25,0.0,80.0
2669,USC00519397,2017-06-26,0.0,81.0
2670,USC00519397,2017-06-27,0.0,80.0
2671,USC00519397,2017-06-28,0.0,79.0
2672,USC00519397,2017-06-29,0.0,79.0
2673,USC00519397,2017-06-30,0.08,75.0
2874,USC00513117,2010-06-01,0.03,74.0
2875,USC00513117,2010-06-02,0.0,76.0
2876,USC00513117,2010-06-03,0.0,75.0
2877,USC00513117,2010-06-04,0.0,75.0
2878,USC00513117,2010-06-05,0.0,74.0
2879,USC00513117,2010-06-06,0.0,75.0
2880,USC00513117,2010-06-07,0.02,75.0
2881,USC00513117,2010-06-08,0.0,75.0
2882,USC00513117,2010-06-09,0.0,75.0
2883,USC00513117,2010-06-10,0.02,75.0
2884,USC00513117,2010-06-11,0.0,83.0
2885,USC00513117,2010-06-12,0.0,75.0
2886,USC00513117,2010-06-13,0.01,76.0
2887,USC00513117,2010-06-14,0.06,73.0
2888,USC00513117,2010-06-15,0.0,74.0
2889,USC00513117,2010-06-16,0.01,74.0
2890,USC00513117,2010-06-17,0.02,75.0
2891,USC00513117,2010-06-18,0.06,70.0
2892,USC00513117,2010-06-19,0.13,74.0
2893,USC00513117,2010-06-20,0.02,75.0
2894,USC00513117,2010-06-21,0.01,75.0
2895,USC00513117,2010-06-22,0.0,75.0
2896,USC00513117,2010-06-23,0.0,75.0
2897,USC00513117,2010-06-24,0.01,75.0
2898,USC00513117,2010-06-25,0.05,74.0
2899,USC00513117,2010-06-26,0.24,72.0
2900,USC00513117,2010-06-27,0.03,76.0
2901,USC00513117,2010-06-28,0.11,73.0
2902,USC00513117,2010-06-29,0.0,75.0
2903,USC00513117,2010-06-30,0.03,76.0
3238,USC00513117,2011-06-01,0.03,74.0
3239,USC00513117,2011-06-02,0.08,75.0
3240,USC00513117,2011-06-03,0.63,71.0
3241,USC00513117,2011-06-04,4.43,69.0
3242,USC00513117,2011-06-05,4.02,69.0
3243,USC00513117,2011-06-06,0.02,74.0
3244,USC00513117,2011-06-07,0.06,71.0
3245,USC00513117,2011-06-08,0.04,74.0
3246,USC00513117,2011-06-09,0.01,74.0
3247,USC00513117,2011-06-10,0.02,75.0
3248,USC00513117,2011-06-11,0.01,73.0
3249,USC00513117,2011-06-12,0.12,73.0
3250,USC00513117,2011-06-13,0.16,73.0
3251,USC00513117,2011-06-14,0.0,75.0
3252,USC00513117,2011-06-15,0.0,75.0
3253,USC00513117,2011-06-16,0.06,74.0
3254,USC00513117,2011-06-17,0.0,74.0
3255,USC00513117,2011-06-18,0.02,75.0
3256,USC00513117,2011-06-19,0.09,74.0
3257,USC00513117,2011-06-20,0.03,73.0
3258,USC00513117,2011-06-21,0.54,72.0
3259,USC00513117,2011-06-22,0.22,74.0
3260,USC00513117,2011-06-23,0.03,72.0
3261,USC00513117,2011-06-24,0.21,75.0
